facility_name,municipality,url,note,last_updated
Alberta Children's Hospital,Calgary,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1010904&locale=en,Open 24 hours for patients 17 &amp; under (two adult family/support persons allowed),2026-07-13 00:00:00.000000
Foothills Medical Centre,Calgary,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1001105&locale=en,Open 24 hours<br />For patients 15 and older,2026-07-13 00:00:00.000000
Peter Lougheed Centre,Calgary,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=2&locale=en,Open 24 hours,2026-07-13 00:00:00.000000
Rockyview General Hospital,Calgary,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=3&locale=en,Open 24 hours<br />,2026-07-13 00:00:00.000000
South Health Campus,Calgary,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1050651&locale=en,Open 24 hours for all patients with pediatrician specialty from 11 am – 11 pm,2026-07-13 00:00:00.000000
Sheldon M. Chumir Centre,Calgary,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1018406&locale=en,Open 24 hours,2026-07-13 00:00:00.000000
South Calgary Health Centre,Calgary,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1003295&locale=en,8 am – 8 pm,2026-07-13 00:00:00.000000
Airdrie Community Health Centre,Calgary,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1684&locale=en,Open 24 hours ,2026-07-13 00:00:00.000000
Cochrane Community Health Centre,Calgary,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1493&locale=en,8 am – 10 pm,2026-07-13 00:00:00.000000
Okotoks Health and Wellness Centre,Calgary,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1999&locale=en,8 am – 10 pm,2026-07-13 00:00:00.000000
Devon General Hospital,Edmonton,https://www.albertahealthservices.ca/findhealth/Facility.aspx?id=1005752&locale=en,Open 24 hours,2026-07-13 00:00:00.000000
Fort Sask Community Hospital,Edmonton,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=8274&locale=en,Open 24 hours,2026-07-13 00:00:00.000000
Grey Nuns Community Hospital,Edmonton,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=3880&locale=en,Open 24 hours,2026-07-13 00:00:00.000000
Leduc Community Hospital,Edmonton,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=7825&locale=en,Open 24 hours,2026-07-13 00:00:00.000000
Misericordia Community Hospital,Edmonton,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=7820&locale=en,Open 24 hours,2026-07-13 00:00:00.000000
Northeast Community Health Centre,Edmonton,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=3904&locale=en,Open 24 hours,2026-07-13 00:00:00.000000
Royal Alexandra Hospital,Edmonton,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=6598&locale=en,Open 24 hours,2026-07-13 00:00:00.000000
Stollery Children's Hospital,Edmonton,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1024457&locale=en,Open 24 hours for patients 17 &amp; under (one adult family/support person allowed),2026-07-13 00:00:00.000000
Strathcona Community Hospital,Edmonton,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1056001&locale=en,Open 24 hours<br />This location is in Sherwood Park,2026-07-13 00:00:00.000000
Sturgeon Community Hospital,Edmonton,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000932&locale=en,Open 24 hours<br />This location is in St. Albert,2026-07-13 00:00:00.000000
University of Alberta Hospital,Edmonton,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=6600&locale=en,Open 24 hours,2026-07-13 00:00:00.000000
WestView Health Centre,Edmonton,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=8828&locale=en,Open 24 hours<br />This location is in Stony Plain,2026-07-13 00:00:00.000000
Red Deer Regional Hospital,RedDeer,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000342&locale=en,Open 24 hours,2026-07-13 00:00:00.000000
Innisfail Health Centre,RedDeer,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000315&locale=en,Open 24 hours,2026-07-13 00:00:00.000000
Lacombe Hospital and Care Centre,RedDeer,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1022053&locale=en,Open 24 hours,2026-07-13 00:00:00.000000
Chinook Regional Hospital,Lethbridge,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=3312&locale=en,Open 24 hours,2026-07-13 00:00:00.000000
Medicine Hat Regional Hospital,MedicineHat,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000474&locale=en,Open 24 hours,2026-07-13 00:00:00.000000
