report_time,facility_name,wait_time,times_unavailable
2026-08-01 00:00:00.000000,Airdrie Community Health Centre,305,0
2026-08-01 00:00:00.000000,Alberta Children's Hospital,127,0
2026-08-01 00:00:00.000000,Chinook Regional Hospital,142,0
2026-08-01 00:00:00.000000,Cochrane Community Health Centre,,0
2026-08-01 00:00:00.000000,Devon General Hospital,254,0
2026-08-01 00:00:00.000000,Foothills Medical Centre,351,0
2026-08-01 00:00:00.000000,Fort Sask Community Hospital,286,0
2026-08-01 00:00:00.000000,Grande Prairie Regional Hospital,30,0
2026-08-01 00:00:00.000000,Grey Nuns Community Hospital,444,0
2026-08-01 00:00:00.000000,Innisfail Health Centre,,1
2026-08-01 00:00:00.000000,Lacombe Hospital and Care Centre,,1
2026-08-01 00:00:00.000000,Leduc Community Hospital,247,0
2026-08-01 00:00:00.000000,Medicine Hat Regional Hospital,311,0
2026-08-01 00:00:00.000000,Misericordia Community Hospital,292,0
2026-08-01 00:00:00.000000,Northeast Community Health Centre,235,0
2026-08-01 00:00:00.000000,Northern Lights Regional Health Centre,111,0
2026-08-01 00:00:00.000000,Okotoks Health and Wellness Centre,,0
2026-08-01 00:00:00.000000,Peter Lougheed Centre,462,0
2026-08-01 00:00:00.000000,Red Deer Regional Hospital,212,0
2026-08-01 00:00:00.000000,Rockyview General Hospital,275,0
2026-08-01 00:00:00.000000,Royal Alexandra Hospital,381,0
2026-08-01 00:00:00.000000,Sheldon M. Chumir Centre,249,0
2026-08-01 00:00:00.000000,South Calgary Health Centre,,0
2026-08-01 00:00:00.000000,South Health Campus,340,0
2026-08-01 00:00:00.000000,Stollery Children's Hospital,174,0
2026-08-01 00:00:00.000000,Strathcona Community Hospital,187,0
2026-08-01 00:00:00.000000,Sturgeon Community Hospital,323,0
2026-08-01 00:00:00.000000,University of Alberta Hospital,273,0
2026-08-01 00:00:00.000000,WestView Health Centre,540,0
2026-08-01 00:10:00.000000,Airdrie Community Health Centre,322,0
2026-08-01 00:10:00.000000,Alberta Children's Hospital,130,0
2026-08-01 00:10:00.000000,Chinook Regional Hospital,132,0
2026-08-01 00:10:00.000000,Cochrane Community Health Centre,,0
2026-08-01 00:10:00.000000,Devon General Hospital,254,0
2026-08-01 00:10:00.000000,Foothills Medical Centre,356,0
2026-08-01 00:10:00.000000,Fort Sask Community Hospital,286,0
2026-08-01 00:10:00.000000,Grande Prairie Regional Hospital,40,0
2026-08-01 00:10:00.000000,Grey Nuns Community Hospital,444,0
2026-08-01 00:10:00.000000,Innisfail Health Centre,,1
2026-08-01 00:10:00.000000,Lacombe Hospital and Care Centre,,1
2026-08-01 00:10:00.000000,Leduc Community Hospital,247,0
2026-08-01 00:10:00.000000,Medicine Hat Regional Hospital,320,0
2026-08-01 00:10:00.000000,Misericordia Community Hospital,285,0
2026-08-01 00:10:00.000000,Northeast Community Health Centre,237,0
2026-08-01 00:10:00.000000,Northern Lights Regional Health Centre,47,0
2026-08-01 00:10:00.000000,Okotoks Health and Wellness Centre,,0
2026-08-01 00:10:00.000000,Peter Lougheed Centre,467,0
2026-08-01 00:10:00.000000,Red Deer Regional Hospital,226,0
2026-08-01 00:10:00.000000,Rockyview General Hospital,267,0
2026-08-01 00:10:00.000000,Royal Alexandra Hospital,356,0
2026-08-01 00:10:00.000000,Sheldon M. Chumir Centre,306,0
2026-08-01 00:10:00.000000,South Calgary Health Centre,,0
2026-08-01 00:10:00.000000,South Health Campus,374,0
2026-08-01 00:10:00.000000,Stollery Children's Hospital,142,0
2026-08-01 00:10:00.000000,Strathcona Community Hospital,216,0
2026-08-01 00:10:00.000000,Sturgeon Community Hospital,337,0
2026-08-01 00:10:00.000000,University of Alberta Hospital,256,0
2026-08-01 00:10:00.000000,WestView Health Centre,481,0
2026-08-01 00:20:00.000000,Airdrie Community Health Centre,338,0
2026-08-01 00:20:00.000000,Alberta Children's Hospital,103,0
2026-08-01 00:20:00.000000,Chinook Regional Hospital,138,0
2026-08-01 00:20:00.000000,Cochrane Community Health Centre,,0
2026-08-01 00:20:00.000000,Devon General Hospital,254,0
2026-08-01 00:20:00.000000,Foothills Medical Centre,354,0
2026-08-01 00:20:00.000000,Fort Sask Community Hospital,286,0
2026-08-01 00:20:00.000000,Grande Prairie Regional Hospital,61,0
2026-08-01 00:20:00.000000,Grey Nuns Community Hospital,433,0
2026-08-01 00:20:00.000000,Innisfail Health Centre,,1
2026-08-01 00:20:00.000000,Lacombe Hospital and Care Centre,,1
2026-08-01 00:20:00.000000,Leduc Community Hospital,247,0
2026-08-01 00:20:00.000000,Medicine Hat Regional Hospital,328,0
2026-08-01 00:20:00.000000,Misericordia Community Hospital,257,0
2026-08-01 00:20:00.000000,Northeast Community Health Centre,192,0
2026-08-01 00:20:00.000000,Northern Lights Regional Health Centre,47,0
2026-08-01 00:20:00.000000,Okotoks Health and Wellness Centre,,0
2026-08-01 00:20:00.000000,Peter Lougheed Centre,467,0
2026-08-01 00:20:00.000000,Red Deer Regional Hospital,135,0
2026-08-01 00:20:00.000000,Rockyview General Hospital,302,0
2026-08-01 00:20:00.000000,Royal Alexandra Hospital,351,0
2026-08-01 00:20:00.000000,Sheldon M. Chumir Centre,336,0
2026-08-01 00:20:00.000000,South Calgary Health Centre,,0
2026-08-01 00:20:00.000000,South Health Campus,394,0
2026-08-01 00:20:00.000000,Stollery Children's Hospital,120,0
2026-08-01 00:20:00.000000,Strathcona Community Hospital,216,0
2026-08-01 00:20:00.000000,Sturgeon Community Hospital,311,0
2026-08-01 00:20:00.000000,University of Alberta Hospital,249,0
2026-08-01 00:20:00.000000,WestView Health Centre,447,0
2026-08-01 00:30:00.000000,Airdrie Community Health Centre,307,0
2026-08-01 00:30:00.000000,Alberta Children's Hospital,107,0
2026-08-01 00:30:00.000000,Chinook Regional Hospital,132,0
2026-08-01 00:30:00.000000,Cochrane Community Health Centre,,0
2026-08-01 00:30:00.000000,Devon General Hospital,254,0
2026-08-01 00:30:00.000000,Foothills Medical Centre,357,0
2026-08-01 00:30:00.000000,Fort Sask Community Hospital,321,0
2026-08-01 00:30:00.000000,Grande Prairie Regional Hospital,61,0
2026-08-01 00:30:00.000000,Grey Nuns Community Hospital,421,0
2026-08-01 00:30:00.000000,Innisfail Health Centre,,1
2026-08-01 00:30:00.000000,Lacombe Hospital and Care Centre,,1
